Simulacao,Tempo_s,STEP,DP01,DP02,DP03,DP04,DP05,DP06,DP07,DP08,DP09,DP10,DP11,DP12
Stamp_1,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1609,0.7665,2.1784,4.7582,8.937,14.7867,22.7493,31.5325,40.3925,49.1662","0.0,0.0957,0.501,1.9576,4.7482,10.5017,19.1332,32.4323,49.6024,68.0906,88.8044","0.0,0.2904,0.9554,2.4412,4.379,7.1277,10.9516,16.0798,23.2354,31.3454,39.2193","0.0,0.2575,1.114,3.4034,8.0675,16.2534,29.0296,44.8056,62.2786,80.2275,98.8941","0.0,0.6191,3.4503,12.7091,25.7649,41.3248,58.2789,76.0511,94.3152,113.3697,135.3687","0.0,0.1093,1.3247,5.0022,11.9071,21.1566,32.0117,44.0404,56.7171,69.5822,81.8998","0.0,0.1724,1.4332,4.0844,8.666,15.0178,23.1373,32.8259,43.7114,55.145,66.4383","0.0,0.0834,0.7405,2.4254,5.6432,11.6349,20.0256,30.4062,43.0159,58.1853,75.8478","0.0,0.0898,0.4996,1.5156,3.3546,6.5031,11.2566,17.5832,25.5256,34.7724,45.927","0.0,0.2446,1.3833,4.1102,10.5893,19.6525,30.3132,41.9399,53.9162,66.0555,78.0807","0.0,0.3805,2.2854,6.5513,16.0821,29.5212,45.1947,61.9323,79.4528,96.8465,115.1082","0.0,0.1921,1.0723,3.0105,9.1913,20.1942,35.3407,52.3499,70.1009,87.9019,104.1906"
Stamp_2,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.151,0.7966,2.2409,4.872,9.0786,14.9736,23.064,31.9352,40.856,49.6472","0.0,0.1097,0.4914,2.0114,4.8592,10.6029,19.236,32.6086,49.88,68.4137,89.1088","0.0,0.3278,0.9888,2.5014,4.4353,7.1781,10.986,16.1414,23.2398,31.2193,38.9703","0.0,0.339,1.1775,3.5606,8.1908,16.359,29.1718,45.0208,62.4912,80.3595,98.7664","0.0,0.5993,3.6163,12.935,25.971,41.4751,58.4668,76.1892,94.5562,113.7012,135.1629","0.0,0.1333,1.4613,5.2007,12.079,21.4142,32.2708,44.2004,56.862,69.6612,81.945","0.0,0.2104,1.4782,4.1867,8.7553,15.1352,23.2304,32.916,43.8428,55.2575,66.5003","0.0,0.0876,0.682,2.4475,5.7888,12.0412,20.5294,31.0328,43.8756,59.0349,77.1249","0.0,0.1202,0.5223,1.5824,3.443,6.6367,11.4407,17.7384,25.6994,34.9671,46.1455","0.0,0.2573,1.474,4.2068,10.7121,19.8882,30.5897,42.2309,54.2646,66.2171,78.0669","0.0,0.3962,2.4875,6.7687,16.3167,29.7867,45.4746,62.2694,79.8629,97.3196,115.7841","0.0,0.2186,1.128,3.0706,9.2507,20.2174,35.3297,52.3702,70.2043,88.1106,104.489"
Stamp_3,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1842,0.8347,2.2974,4.8965,9.0947,14.9761,22.9988,31.8673,40.7634,49.5431","0.0,0.141,0.5527,2.0583,4.895,10.604,19.2306,32.6506,50.0104,68.6427,89.365","0.0,0.3084,1.0124,2.5508,4.4687,7.1975,10.9625,16.1078,23.3373,31.2896,38.981","0.0,0.3228,1.2386,3.5975,8.2199,16.3947,29.2193,45.0488,62.4975,80.3313,98.5647","0.0001,0.6897,3.8271,13.2973,26.3009,41.8128,58.8529,76.5052,94.981,114.1673,135.4113","0.0,0.1324,1.4977,5.2451,12.1353,21.4306,32.2097,44.038,56.6543,69.5163,81.8223","0.0,0.1975,1.5374,4.2367,8.823,15.1791,23.3086,33.0241,43.9266,55.3037,66.5254","0.0,0.1027,0.7223,2.5404,5.8892,12.1833,20.6621,31.3039,44.2271,59.4694,77.6815","0.0001,0.1071,0.5174,1.5768,3.4426,6.5872,11.3926,17.7523,25.6862,34.9699,46.09","0.0,0.2741,1.4967,4.2862,10.7895,19.9416,30.7286,42.3177,54.2766,66.3245,78.1285","0.0,0.4386,2.5293,6.9089,16.4591,29.9348,45.606,62.4408,80.0085,97.5587,115.9514","0.0,0.2312,1.1731,3.095,9.2785,20.2718,35.3843,52.3555,70.0864,87.9371,104.156"
Stamp_10,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1388,0.723,2.1114,4.6667,8.8037,14.6784,22.6741,31.4717,40.3424,49.065","0.0,0.0758,0.4575,1.8894,4.6341,10.3236,18.9001,32.1622,49.3397,67.7337,88.3428","0.0,0.275,0.9225,2.3866,4.3133,7.0592,10.8744,16.0052,23.1838,31.1908,38.9904","0.0,0.2446,1.0641,3.3179,7.9519,16.0953,28.8796,44.6729,62.132,80.041,98.6152","0.0,0.6354,3.2253,12.2497,25.2259,40.701,57.6721,75.2358,93.3782,112.4526,134.1174","0.0,0.133,1.2917,4.8422,11.736,20.9056,31.7047,43.6528,56.2723,69.0203,81.2724","0.0,0.1702,1.3913,3.9892,8.5571,14.9195,23.063,32.7253,43.5308,54.9236,66.1203","0.0,0.079,0.7076,2.3471,5.5067,11.407,19.6459,30.0476,42.3478,57.4827,74.947","0.0,0.0855,0.4868,1.4813,3.3109,6.4291,11.1615,17.4291,25.3425,34.5792,45.6779","0.0,0.2405,1.3283,4.0327,10.4615,19.4594,30.022,41.5642,53.5536,65.5266,77.579","0.0,0.3663,2.1615,6.3159,15.8354,29.2047,44.7937,61.4212,78.9192,96.2411,114.2091","0.0,0.1724,1.0184,2.9303,9.0814,20.0092,35.0139,51.9261,69.6223,87.4104,103.6269"
Stamp_11,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1589,0.7709,2.2008,4.7894,8.9518,14.8325,22.8424,31.6476,40.5191,49.2811","0.0,0.0989,0.4702,1.9707,4.7429,10.4465,19.0281,32.3534,49.5801,68.0239,88.6463","0.0,0.3172,0.9656,2.4622,4.3788,7.1036,10.8992,16.0672,23.1604,31.115,38.8333","0.0,0.3326,1.1513,3.4846,8.1147,16.2278,28.9951,44.7655,62.1786,80.0265,98.4467","0.0,0.5725,3.4511,12.5583,25.558,40.9593,57.7761,75.4736,93.7589,112.6282,134.081","0.0,0.1232,1.3878,5.0762,11.9029,21.1917,32.015,43.8796,56.4887,69.2407,81.4146","0.0,0.2038,1.433,4.0918,8.638,14.9691,23.0482,32.6875,43.5607,54.9356,66.1617","0.0,0.0826,0.6568,2.3716,5.6051,11.6303,20.0394,30.4158,43.1175,58.2842,75.9769","0.0,0.1154,0.5043,1.5484,3.3828,6.5425,11.3332,17.6166,25.5321,34.7948,46.0011","0.0,0.2515,1.4184,4.12,10.6063,19.6592,30.308,41.9159,53.938,65.7748,77.7018","0.0,0.3782,2.3683,6.5573,16.0792,29.4755,45.0999,61.7592,79.2813,96.611,115.0618","0.0,0.2104,1.09,3.029,9.1612,20.0948,35.1001,51.9915,69.7016,87.4992,103.8471"
Stamp_12,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1622,0.779,2.2086,4.8124,8.9787,14.8205,22.8161,31.6258,40.5033,49.2519","0.0,0.114,0.4893,1.9975,4.7741,10.4577,19.071,32.4505,49.7346,68.22,88.813","0.0,0.2953,0.9979,2.5244,4.4216,7.1458,10.9251,16.0076,23.24,31.2888,38.8978","0.0,0.3035,1.185,3.5011,8.1121,16.2336,29.033,44.8477,62.2669,80.019,98.1291","0.0,0.6607,3.7373,13.018,26.0306,41.4569,58.2738,75.9735,94.3312,113.2442,134.3371","0.0,0.1792,1.5096,5.152,12.0481,21.1474,31.8899,43.7663,56.3289,69.0535,81.3049","0.0,0.1903,1.511,4.1588,8.7049,15.0481,23.1264,32.7558,43.6007,54.9427,66.151","0.0,0.0933,0.6906,2.4686,5.7197,11.9073,20.2897,30.7259,43.6161,58.7508,76.5656","0.0,0.1182,0.5078,1.5752,3.4017,6.5231,11.3078,17.6268,25.5316,34.7715,45.9255","0.0,0.2847,1.4806,4.2013,10.6927,19.7822,30.4871,42.0582,53.9872,66.0493,77.9188","0.0,0.4089,2.44,6.7167,16.2799,29.6984,45.2869,62.0126,79.4957,96.9147,115.3201","0.0,0.2089,1.1149,3.023,9.174,20.1256,35.1946,52.1391,69.8891,87.6977,104.0318"
Stamp_13,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1545,0.7775,2.1911,4.8072,9.004,14.8568,22.8041,31.5525,40.413,49.2163","0.0,0.095,0.5048,1.9746,4.8214,10.5881,19.234,32.5861,49.8072,68.3668,89.1305","0.0,0.3002,0.9838,2.4674,4.4349,7.1927,11.0233,16.1559,23.2893,31.3599,39.1517","0.0,0.2816,1.1711,3.4925,8.1772,16.3764,29.1822,44.9647,62.4396,80.3826,99.11","0.0,0.7067,3.6666,13.0684,26.1768,41.7679,58.7415,76.5211,94.7269,114.0272,136.0358","0.0,0.1508,1.4443,5.2103,12.1488,21.44,32.3107,44.2777,56.8608,69.6713,82.0227","0.0,0.1823,1.4876,4.2258,8.8469,15.2377,23.4021,33.1599,44.0419,55.5007,66.7901","0.0,0.0835,0.7672,2.4756,5.7921,11.9232,20.328,30.7017,43.4106,58.5974,76.4128","0.0,0.0924,0.511,1.5325,3.3894,6.5601,11.3412,17.6721,25.6354,34.9482,46.0326","0.0,0.2479,1.4201,4.1707,10.646,19.727,30.4311,42.0474,54.0282,66.0474,77.9803","0.0,0.3953,2.3684,6.6998,16.2265,29.7427,45.4979,62.2811,79.705,97.0658,115.3417","0.0,0.1959,1.1036,3.0406,9.2309,20.1603,35.252,52.2272,69.995,87.8942,104.2458"
Stamp_14,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1585,0.8184,2.2842,4.9454,9.1666,15.0593,23.1053,31.9061,40.7782,49.5623","0.0,0.1234,0.5166,2.0618,4.9697,10.7254,19.3877,32.7575,50.0433,68.5894,89.3299","0.0,0.3373,1.0127,2.5259,4.4801,7.223,11.0512,16.1927,23.2915,31.3435,38.9899","0.0,0.3537,1.2252,3.6373,8.2757,16.467,29.2988,45.0992,62.5466,80.3951,98.9197","0.0,0.6959,3.8431,13.2872,26.3023,41.8828,58.9539,76.5627,94.9312,114.0357,135.5758","0.0,0.1439,1.5182,5.3568,12.2419,21.5843,32.5002,44.4469,57.1278,69.9,82.1388","0.0,0.2189,1.5178,4.2821,8.8998,15.3142,23.4695,33.2029,44.1317,55.5714,66.8461","0.0,0.0843,0.7018,2.5097,5.9741,12.2815,20.7624,31.3777,44.1426,59.386,77.5993","0.0,0.1185,0.5367,1.6064,3.4812,6.6913,11.5358,17.8881,25.853,35.1284,46.274","0.0,0.2643,1.5209,4.2789,10.7707,19.9063,30.6376,42.3265,54.3759,66.2998,78.0353","0.0,0.408,2.5657,6.9292,16.512,30.0645,45.7953,62.6012,80.2092,97.6819,116.086","0.0,0.2252,1.1612,3.1228,9.2985,20.235,35.3344,52.357,70.1708,88.0976,104.4923"
Stamp_15,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0002,0.1704,0.8466,2.3222,4.9731,9.2098,15.0814,23.0759,31.8706,40.7001,49.4608","0.0,0.1182,0.5578,2.0525,4.9565,10.6973,19.3961,32.8164,50.1581,68.7898,89.532","0.0,0.3449,1.0616,2.6147,4.5517,7.2745,11.0487,16.1417,23.4171,31.3721,38.984","0.0,0.3402,1.29,3.6585,8.291,16.5118,29.3979,45.2013,62.5813,80.3436,98.6146","0.0,0.7453,4.084,13.6046,26.6302,42.1968,59.235,76.8776,95.2941,114.4996,135.7183","0.0,0.1298,1.5588,5.3776,12.2526,21.5391,32.3431,44.2141,56.9045,69.675,81.8616","0.0,0.1985,1.5827,4.3392,8.9224,15.3243,23.5157,33.291,44.3024,55.6926,66.9586","0.0,0.097,0.7587,2.6115,6.0844,12.4516,20.9231,31.5972,44.5718,59.8671,78.2146","0.0,0.1296,0.5427,1.6257,3.5239,6.7095,11.54,17.9097,25.8568,35.1686,46.3367","0.0,0.2615,1.5465,4.2534,10.8081,19.9844,30.7452,42.3345,54.2184,66.1869,78.0709","0.0,0.4334,2.5694,7.0493,16.6843,30.2936,46.0121,62.81,80.2897,97.9158,116.3087","0.0,0.2155,1.1673,3.1515,9.3435,20.3007,35.3686,52.3572,70.1131,88.0141,104.3768"
Stamp_16,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1809,0.8373,2.3072,4.953,9.2,15.0873,23.091,31.8777,40.7092,49.4162","0.0,0.1109,0.5785,2.0994,5.0322,10.8523,19.5533,32.9557,50.2492,68.8996,89.8605","0.0,0.3217,1.0538,2.5525,4.5552,7.3129,11.1283,16.2476,23.4522,31.4771,39.3504","0.0,0.2943,1.2651,3.6108,8.3746,16.6196,29.4676,45.3264,62.8223,80.7871,99.6841","0.0,0.6578,4.0196,13.6649,26.8027,42.4518,59.5852,77.3325,95.6123,115.1585,137.4785","0.0,0.1523,1.5692,5.5058,12.488,21.8524,32.779,44.8118,57.5679,70.4153,82.7263","0.0,0.1824,1.5807,4.4107,9.0991,15.5968,23.8938,33.8015,44.8361,56.29,67.6413","0.0,0.0885,0.7997,2.6263,6.1946,12.5563,20.9968,31.7158,44.468,59.7786,78.2153","0.0,0.0967,0.521,1.5856,3.4772,6.7445,11.5994,17.9488,25.9262,35.1954,46.3205","0.0,0.2625,1.4977,4.3002,10.7736,19.84,30.5765,42.155,54.1571,66.0247,77.9271","0.0,0.4404,2.5231,7.0111,16.5652,30.1623,45.9704,62.7729,80.3035,97.7109,116.0552","0.0,0.2138,1.1868,3.1576,9.3356,20.3462,35.5213,52.5764,70.4774,88.453,104.8571"
Stamp_17,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1672,0.8728,2.357,5.0654,9.3418,15.2468,23.2662,32.0707,40.9748,49.7736","0.0,0.1266,0.5603,2.1171,5.1281,10.913,19.636,33.1058,50.487,69.1597,90.124","0.0,0.3631,1.0635,2.5825,4.5603,7.324,11.1346,16.2665,23.33,31.3382,38.9905","0.0,0.3985,1.3232,3.7806,8.4539,16.6926,29.551,45.3631,62.8695,80.8107,99.4128","0.0,0.7819,4.2231,13.8792,26.96,42.6063,59.6907,77.5964,95.9649,115.3781,137.1401","0.0,0.1588,1.6319,5.5931,12.5616,21.9761,33.0515,45.0899,57.7478,70.5737,82.9153","0.0,0.2266,1.5935,4.474,9.1553,15.6385,23.8938,33.695,44.7264,56.152,67.4808","0.0,0.0909,0.7458,2.6383,6.3463,12.7381,21.23,32.1104,45.1825,60.5393,79.0859","0.0,0.123,0.559,1.6573,3.5842,6.8436,11.7444,18.1878,26.2071,35.5373,46.6716","0.0,0.273,1.5999,4.4205,10.9401,20.0676,30.8609,42.5624,54.5152,66.3575,78.0413","0.0,0.4409,2.7075,7.2003,16.7922,30.4019,46.2245,63.1224,80.6718,98.3458,116.7046","0.0,0.2427,1.2342,3.2082,9.4035,20.4128,35.6118,52.7146,70.5362,88.5215,104.9642"
Stamp_18,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1864,0.8923,2.4168,5.1094,9.4176,15.3369,23.3358,32.1136,40.9313,49.7083","0.0,0.1431,0.5994,2.1715,5.1833,10.9651,19.6969,33.1941,50.6283,69.3547,90.2968","0.0,0.345,1.1004,2.648,4.6345,7.3661,11.1433,16.2567,23.4878,31.4599,39.1113","0.0,0.3688,1.3805,3.7953,8.48,16.7159,29.6165,45.4625,62.951,80.8482,99.2277","0.0,0.734,4.32,14.0155,27.0645,42.704,59.748,77.6591,96.1275,115.5986,137.1673","0.0,0.1292,1.6419,5.5822,12.4681,21.8586,32.7439,44.6314,57.3133,70.1727,82.477","0.0,0.2121,1.6462,4.5066,9.2004,15.6578,23.9286,33.7326,44.7701,56.1626,67.4386","0.0,0.1049,0.7676,2.6967,6.4857,12.9354,21.5501,32.5729,45.7471,61.2375,79.6928","0.0002,0.1076,0.54,1.6418,3.5914,6.8199,11.671,18.113,26.1114,35.4657,46.5938","0.0,0.2875,1.6079,4.4595,11.0221,20.1992,31.0682,42.8067,54.8271,66.7659,78.4523","0.0,0.4865,2.7392,7.2883,16.8926,30.5249,46.3784,63.3316,80.8755,98.5564,116.8951","0.0,0.2558,1.2678,3.231,9.423,20.4305,35.548,52.5628,70.3,88.1804,104.5245"
Stamp_19,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1527,0.711,2.0582,4.5779,8.6912,14.5215,22.4311,31.1624,39.9831,48.7337","0.0,0.0822,0.4659,1.8709,4.5403,10.2148,18.7562,31.9573,49.0716,67.3811,87.9166","0.0,0.2798,0.9072,2.3525,4.2633,7.0121,10.8346,15.9536,23.1363,31.2638,39.0217","0.0,0.2397,1.0274,3.2426,7.8721,15.9983,28.7853,44.5163,61.9006,79.7213,98.2584","0.0,0.5484,3.0112,11.8302,24.7801,40.1677,57.0333,74.5847,92.6814,111.4761,133.2466","0.0,0.1051,1.2153,4.6681,11.5467,20.6858,31.3378,43.1968,55.7246,68.4718,80.7076","0.0,0.1589,1.3421,3.8733,8.4238,14.7368,22.8189,32.4609,43.2885,54.6945,65.9461","0.0,0.078,0.6722,2.2684,5.3555,11.1023,19.1987,29.4132,41.482,56.6285,73.855","0.0,0.0778,0.46,1.4544,3.2504,6.3545,11.0736,17.3045,25.1704,34.415,45.5166","0.0,0.2332,1.2634,3.9104,10.3118,19.251,29.7875,41.3071,53.332,65.3093,77.3716","0.0,0.3388,2.0217,6.0506,15.5184,28.7979,44.3692,60.9455,78.2846,95.6247,113.3262","0.0,0.1692,0.9742,2.8681,8.9865,19.9214,34.9304,51.8237,69.4393,87.1906,103.324"
Stamp_20,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.145,0.7382,2.1416,4.7051,8.8456,14.686,22.6511,31.412,40.2312,48.9628","0.0,0.1005,0.4537,1.9351,4.6852,10.3584,18.9153,32.1729,49.3576,67.6866,88.2517","0.0,0.3097,0.9442,2.4272,4.3382,7.0595,10.8349,16.01,23.1158,31.101,38.8042","0.0,0.3276,1.1168,3.3986,8.0346,16.129,28.8668,44.6621,62.0139,79.8548,98.097","0.0,0.5217,3.2736,12.1507,25.156,40.5404,57.2993,74.9894,93.2256,111.6063,133.0746","0.0,0.1263,1.3405,4.8861,11.744,20.9785,31.7768,43.5699,56.0433,68.6988,80.9389","0.0,0.1999,1.3909,4.0013,8.534,14.825,22.8749,32.5374,43.3653,54.7195,65.9192","0.0,0.0848,0.6418,2.3381,5.4356,11.3432,19.62,29.9133,42.3194,57.403,74.8446","0.0,0.1095,0.4898,1.5264,3.3324,6.4396,11.1729,17.4609,25.3548,34.6243,45.7599","0.0,0.2466,1.366,4.0323,10.4785,19.4815,30.1136,41.6994,53.6818,65.586,77.4987","0.0,0.3616,2.2606,6.3523,15.8382,29.1608,44.7385,61.3472,78.6243,95.9186,114.2516","0.0,0.2009,1.0404,2.9728,9.0809,19.9618,34.9513,51.8147,69.4624,87.2045,103.4825"
Stamp_21,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1829,0.7826,2.205,4.7721,8.8862,14.7737,22.7338,31.5194,40.3508,49.0922","0.0,0.106,0.4585,1.9483,4.6853,10.3601,18.9369,32.2701,49.4725,67.8772,88.368","0.0,0.299,0.9922,2.4876,4.379,7.0651,10.8659,15.9422,23.1402,31.2047,38.9129","0.0,0.2942,1.1385,3.4238,8.0243,16.1287,28.9038,44.6683,62.0216,79.7535,97.7673","0.0,0.6058,3.543,12.5463,25.4709,40.8543,57.6387,75.3302,93.6571,112.0755,133.2935","0.0,0.1396,1.4128,4.9818,11.8171,20.8553,31.5477,43.3916,55.9646,68.6415,80.8054","0.0,0.188,1.4661,4.0608,8.5662,14.8672,22.8974,32.5188,43.3608,54.6911,65.8491","0.0,0.0892,0.6773,2.4161,5.576,11.5883,19.9802,30.356,43.0347,58.1494,75.69","0.0,0.1202,0.5016,1.5512,3.3697,6.4655,11.1959,17.4881,25.403,34.601,45.7054","0.0,0.2724,1.4469,4.1484,10.6086,19.7261,30.38,41.9406,53.9204,65.7763,77.6852","0.0,0.3863,2.3611,6.5465,16.0495,29.3759,44.8853,61.4853,78.9219,96.1773,114.5696","0.0,0.1985,1.0723,2.969,9.1227,20.0022,34.9727,51.7711,69.4348,87.1475,103.3954"
Stamp_22,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1678,0.7793,2.1683,4.7365,8.9055,14.7758,22.717,31.469,40.296,49.0376","0.0,0.1012,0.5137,1.9501,4.7451,10.5046,19.1176,32.4094,49.5398,67.9615,88.5775","0.0002,0.2964,0.9656,2.45,4.3923,7.1567,10.9799,16.1191,23.2562,31.3088,39.0479","0.0,0.2762,1.1289,3.4241,8.0913,16.2793,29.0882,44.8648,62.3001,80.1904,98.771","0.0,0.6875,3.5067,12.7149,25.7517,41.2739,58.1969,75.8213,93.9453,112.9345,134.7437","0.0,0.1051,1.3528,5.0425,11.9936,21.1985,31.9531,43.8573,56.4104,69.1886,81.402","0.0,0.1761,1.4525,4.1355,8.7579,15.1161,23.2345,32.9542,43.8411,55.2811,66.5806","0.0,0.0807,0.7405,2.4275,5.6656,11.6662,19.9651,30.2649,42.7396,57.8601,75.4293","0.0,0.0946,0.5036,1.5162,3.3612,6.5085,11.2455,17.5315,25.4867,34.733,45.8183","0.0,0.2653,1.3891,4.114,10.5214,19.5233,30.0839,41.6608,53.6703,65.6519,77.6097","0.0,0.3837,2.2626,6.5158,16.0262,29.4658,45.084,61.7065,79.172,96.4868,114.5117","0.0,0.1884,1.0527,2.9891,9.1303,20.1025,35.1926,52.1934,69.9566,87.8307,104.1434"
Stamp_23,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1524,0.8009,2.2528,4.8752,9.0693,14.9311,22.9159,31.6684,40.4746,49.2254","0.0,0.1026,0.4878,1.9934,4.8574,10.5907,19.228,32.5466,49.7719,68.2275,88.8755","0.0,0.3249,0.9862,2.4934,4.4357,7.1755,10.9777,16.1331,23.2252,31.2696,38.9099","0.0,0.3551,1.1999,3.5783,8.2167,16.3708,29.0991,44.8849,62.3364,80.206,98.6418","0.0,0.6465,3.6973,12.9725,25.9776,41.4283,58.3401,75.9509,94.238,113.133,134.676","0.0,0.1165,1.4395,5.1981,12.0875,21.382,32.2508,44.1604,56.797,69.4928,81.6681","0.0,0.2101,1.4762,4.1983,8.7648,15.1737,23.2843,32.9934,43.8891,55.2739,66.479","0.0,0.0847,0.6825,2.4447,5.7778,11.9609,20.3781,30.8085,43.5757,58.7196,76.6112","0.0,0.1159,0.5182,1.5686,3.4166,6.5847,11.3793,17.6926,25.6566,34.9037,46.0648","0.0,0.2586,1.4741,4.2031,10.6698,19.7414,30.4039,42.0595,54.0605,65.851,77.5363","0.0,0.3948,2.4674,6.7647,16.2792,29.7165,45.3508,62.0295,79.5869,96.9199,115.3438","0.0,0.2184,1.1254,3.0781,9.2224,20.1369,35.1752,52.1196,69.8844,87.7413,104.1073"
